Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,season,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,match_status,candidate_transfermarkt_ids
Allan,br BRA,MF,Everton,eng Premier League,30,1991,28,25,2183,24.3,0,2,2,0,0,0,7,1,0.0,0.08,0.08,0.0,0.08,21/22,7,3,42.9,0.29,0.12,0.0,0.0,0,30,22,0,11,23,46,,,0,ambiguous_name,126422;385271
Hugo Álvarez,es ESP,"DF,MF",Celta Vigo,es La Liga,18,2003,1,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,21/22,1,0,0.0,8.18,0.0,0.0,,0,0,0,0,0,0,0,,,0,ambiguous_name,75845;892929
Marcos André,br BRA,"FW,MF",Valencia,es La Liga,24,1996,29,8,973,10.8,1,3,4,1,0,0,3,0,0.09,0.28,0.37,0.09,0.37,21/22,30,8,26.7,2.77,0.74,0.03,0.13,0,23,22,4,3,7,12,,,0,ambiguous_name,481084;1084075
Beto,gw GNB,FW,Udinese,it Serie A,23,1998,28,24,2173,24.1,11,0,11,11,0,0,1,0,0.46,0.0,0.46,0.46,0.46,21/22,64,26,40.6,2.65,1.08,0.17,0.42,0,52,24,13,3,5,7,,,0,ambiguous_name,14269;35242;55485;67973;268965;595809
Jesús Corona,mx MEX,"FW,MF",Sevilla,es La Liga,28,1993,18,12,1157,12.9,2,4,6,2,0,0,2,0,0.16,0.31,0.47,0.16,0.47,21/22,12,3,25.0,0.93,0.23,0.17,0.67,0,11,27,7,53,9,7,,,0,ambiguous_name,29574;125165
Mamadou Coulibaly,sn SEN,MF,Salernitana,it Serie A,22,1999,12,9,808,9.0,2,0,2,2,0,0,1,0,0.22,0.0,0.22,0.22,0.22,21/22,10,4,40.0,1.11,0.45,0.2,0.5,0,15,10,0,8,10,12,,,0,ambiguous_name,472161;745173
Matheus Cunha,br BRA,FW,Hertha BSC,de Bundesliga,22,1999,1,1,64,0.7,0,1,1,0,0,0,0,0,0.0,1.41,1.41,0.0,1.41,21/22,2,1,50.0,2.81,1.41,0.0,0.0,0,1,3,0,0,0,0,,,0,ambiguous_name,517894;876739
Matheus Cunha,br BRA,FW,Atlético Madrid,es La Liga,22,1999,29,8,1063,11.8,6,4,10,6,0,0,3,0,0.51,0.34,0.85,0.51,0.85,21/22,37,15,40.5,3.13,1.27,0.16,0.4,0,22,26,1,7,5,12,,,0,ambiguous_name,517894;876739
Danilo,br BRA,"DF,MF",Juventus,it Serie A,30,1991,22,22,1893,21.0,1,2,3,1,0,0,6,0,0.05,0.1,0.14,0.05,0.14,21/22,13,3,23.1,0.62,0.14,0.08,0.33,0,19,11,0,13,30,27,,,0,ambiguous_name,32816;51232;54139;145707;292413;325089;519731;808509
Ben Davies,wls WAL,DF,Tottenham Hotspur,eng Premier League,28,1993,29,28,2538,28.2,1,1,2,1,0,0,6,0,0.04,0.04,0.07,0.04,0.07,21/22,18,7,38.9,0.64,0.25,0.06,0.14,0,31,18,5,18,30,21,,,0,ambiguous_name,67271;192765;257097
Tom Davies,eng ENG,MF,Everton,eng Premier League,23,1998,6,2,234,2.6,1,0,1,1,0,0,1,0,0.38,0.0,0.38,0.38,0.38,21/22,6,2,33.3,2.31,0.77,0.17,0.5,0,4,3,0,0,2,1,,,0,ambiguous_name,314210;854853
Moussa Diaby,fr FRA,MF,Leverkusen,de Bundesliga,22,1999,32,32,2760,30.7,13,12,25,13,0,1,10,1,0.42,0.39,0.82,0.42,0.82,21/22,54,26,48.1,1.76,0.85,0.24,0.5,1,38,25,17,85,8,11,,,0,ambiguous_name,395516;740565
Ibrahima Diallo,fr FRA,MF,Southampton,eng Premier League,22,1999,23,10,1023,11.4,0,2,2,0,0,0,1,0,0.0,0.18,0.18,0.0,0.18,21/22,8,4,50.0,0.7,0.35,0.0,0.0,0,8,15,0,8,7,11,,,0,ambiguous_name,42506;413032
Luis Díaz,co COL,FW,Liverpool,eng Premier League,24,1997,13,11,958,10.6,4,3,7,4,0,0,0,0,0.38,0.28,0.66,0.38,0.66,21/22,38,13,34.2,3.57,1.22,0.11,0.31,0,14,14,3,14,4,7,,,0,ambiguous_name,480692;538984
Éderson,br BRA,MF,Salernitana,it Serie A,22,1999,15,13,1147,12.7,2,1,3,2,0,0,5,0,0.16,0.08,0.24,0.16,0.24,21/22,21,9,42.9,1.65,0.71,0.1,0.22,0,18,34,1,5,18,19,,,0,ambiguous_name,76470;607854
Emerson,br BRA,DF,Barcelona,es La Liga,22,1999,3,1,91,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,21/22,0,0,,0.0,0.0,,,0,3,3,0,2,2,2,,,0,ambiguous_name,1969;57159;67916;75140;149582;181778;382171;798448
Emerson,br BRA,"MF,DF",Tottenham Hotspur,eng Premier League,22,1999,31,26,2286,25.4,1,1,2,1,0,0,5,0,0.04,0.04,0.08,0.04,0.08,21/22,15,4,26.7,0.59,0.16,0.07,0.25,0,28,45,2,74,24,44,,,0,ambiguous_name,1969;57159;67916;75140;149582;181778;382171;798448
Sergio Escudero,es ESP,DF,Granada,es La Liga,31,1989,27,15,1434,15.9,2,1,3,2,0,0,6,0,0.13,0.06,0.19,0.13,0.19,21/22,21,4,19.0,1.32,0.25,0.1,0.5,0,14,20,5,31,26,26,,,0,ambiguous_name,54836;93935
Fabinho,br BRA,MF,Liverpool,eng Premier League,27,1993,29,26,2314,25.7,5,1,6,3,2,2,7,0,0.19,0.04,0.23,0.12,0.16,21/22,21,10,47.6,0.82,0.39,0.14,0.3,0,41,28,0,8,38,29,,,0,ambiguous_name,53232;75081;115552;137724;171065;210548;225693;292749;340526;627230;661284;697714;704558;726086
Fábio,br BRA,"DF,MF",Nantes,fr Ligue 1,31,1990,27,21,1667,18.5,0,2,2,0,0,0,8,1,0.0,0.11,0.11,0.0,0.11,21/22,11,1,9.1,0.59,0.05,0.0,0.0,0,30,19,1,35,35,39,,,0,ambiguous_name,22415;61891;95261;99648
Fali,es ESP,"DF,MF",Cádiz,es La Liga,27,1993,28,23,1803,20.0,0,2,2,0,0,0,6,0,0.0,0.1,0.1,0.0,0.1,21/22,14,0,0.0,0.7,0.0,0.0,,0,19,11,0,11,24,19,,,0,ambiguous_name,65281;252667
