row_id,trmrkt_player_id,season,Squad,Comp,valuation_date,market_value_eur,market_value_date,market_value_days_from_valuation,log_market_value_eur,market_value_in_window,market_value_stale,market_value_missing
471690_21/22_Norwich_City_eng_Premier_League_1,471690,21/22,Norwich City,eng Premier League,2022-06-30,22000000,2022-06-14,16,16.90655306,1,0,0
199704_21/22_Reims_fr_Ligue_1_2,199704,21/22,Reims,fr Ligue 1,2022-06-30,1200000,2022-05-29,32,13.99783295,1,0,0
688707_21/22_Clermont_Foot_fr_Ligue_1_3,688707,21/22,Clermont Foot,fr Ligue 1,2022-06-30,3000000,2022-05-29,32,14.91412318,1,0,0
238626_21/22_Lorient_fr_Ligue_1_4,238626,21/22,Lorient,fr Ligue 1,2022-06-30,3000000,2022-05-29,32,14.91412318,1,0,0
596813_21/22_Greuther_Fürth_de_Bundesliga_5,596813,21/22,Greuther Fürth,de Bundesliga,2022-06-30,800000,2022-06-08,22,13.59236826,1,0,0
659543_21/22_Rennes_fr_Ligue_1_6,659543,21/22,Rennes,fr Ligue 1,2022-06-30,3000000,2022-06-01,29,14.91412318,1,0,0
331726_21/22_Roma_it_Serie_A_7,331726,21/22,Roma,it Serie A,2022-06-30,50000000,2022-06-06,24,17.72753358,1,0,0
330684_21/22_Granada_es_La_Liga_8,330684,21/22,Granada,es La Liga,2022-06-30,4000000,2022-09-07,69,15.20180517,0,0,0
131075_21/22_Lazio_it_Serie_A_9,131075,21/22,Lazio,it Serie A,2022-06-30,4000000,2022-06-06,24,15.20180517,1,0,0
60410_21/22_Sevilla_es_La_Liga_10,60410,21/22,Sevilla,es La Liga,2022-06-30,18000000,2022-06-02,28,16.70588237,1,0,0
346779_21/22_Southampton_eng_Premier_League_11,346779,21/22,Southampton,eng Premier League,2022-06-30,18000000,2022-06-14,16,16.70588237,1,0,0
332705_21/22_RB_Leipzig_de_Bundesliga_12,332705,21/22,RB Leipzig,de Bundesliga,2022-06-30,17000000,2022-06-08,22,16.64872396,1,0,0
125614_21/22_Hoffenheim_de_Bundesliga_13,125614,21/22,Hoffenheim,de Bundesliga,2022-06-30,3500000,2022-04-11,80,15.06827381,0,0,0
814976_21/22_Reims_fr_Ligue_1_14,814976,21/22,Reims,fr Ligue 1,2022-06-30,800000,2022-05-29,32,13.59236826,1,0,0
