row_id,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,season,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,trmrkt_player_id,valuation_date,season_end_year,position_group,cleaned_comp,cleaned_nation,age_squared,low_minutes_flag,minutes_bucket,goals_per90,assists_per90,shots_per90,shots_on_target_per90,crosses_per90,interceptions_per90,tackles_won_per90,fouls_per90,fouled_per90
471690_21/22_Norwich_City_eng_Premier_League_1,Max Aarons,eng ENG,DF,Norwich City,eng Premier League,21,2000,34,32,2881,32.0,0,2,2,0,0,0,8,0,0.0,0.06,0.06,0.0,0.06,21/22,13,2,15.4,0.41,0.06,0.0,0.0,0,26,52,1,50,26,45,,,1,471690,2022-06-30,2022,DF,Premier League,ENG,441.0,0,1800_plus,0.0,0.0625,0.40625,0.0625,1.5625,0.8125,1.40625,0.8125,1.625
199704_21/22_Reims_fr_Ligue_1_2,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,33,1987,34,34,2983,33.1,2,0,2,2,0,0,5,1,0.06,0.0,0.06,0.06,0.06,21/22,18,6,33.3,0.54,0.18,0.11,0.33,0,38,25,0,4,67,28,,,0,199704,2022-06-30,2022,DF,Ligue 1,MAR,1089.0,0,1800_plus,0.060423,0.0,0.543807,0.181269,0.120846,2.024169,0.845921,1.148036,0.755287
688707_21/22_Clermont_Foot_fr_Ligue_1_3,Salis Abdul Samed,gh GHA,MF,Clermont Foot,fr Ligue 1,21,2000,31,29,2462,27.4,1,0,1,1,0,0,12,3,0.04,0.0,0.04,0.04,0.04,21/22,18,5,27.8,0.66,0.18,0.06,0.2,2,43,37,0,14,40,26,,,0,688707,2022-06-30,2022,MF,Ligue 1,GHA,441.0,0,1800_plus,0.036496,0.0,0.656934,0.182482,0.510949,1.459854,0.948905,1.569343,1.350365
238626_21/22_Lorient_fr_Ligue_1_4,Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,28,1993,34,34,2956,32.8,0,2,2,0,0,0,9,0,0.0,0.06,0.06,0.0,0.06,21/22,30,7,23.3,0.91,0.21,0.0,0.0,0,41,69,1,37,54,63,,,0,238626,2022-06-30,2022,MF,Ligue 1,FRA,784.0,0,1800_plus,0.0,0.060976,0.914634,0.213415,1.128049,1.646341,1.920732,1.25,2.103659
596813_21/22_Greuther_Fürth_de_Bundesliga_5,Dickson Abiama,ng NGA,FW,Greuther Fürth,de Bundesliga,22,1998,24,5,726,8.1,0,1,1,0,0,0,3,0,0.0,0.12,0.12,0.0,0.12,21/22,18,4,22.2,2.23,0.5,0.0,0.0,0,17,11,15,3,5,7,,,0,596813,2022-06-30,2022,FW,Bundesliga,NGA,484.0,1,450_to_899,0.0,0.123457,2.222222,0.493827,0.37037,0.617284,0.864198,2.098765,1.358025
659543_21/22_Rennes_fr_Ligue_1_6,Matthis Abline,fr FRA,FW,Rennes,fr Ligue 1,18,2003,7,1,103,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,21/22,2,0,0.0,1.75,0.0,0.0,,0,2,1,0,0,0,0,,,0,659543,2022-06-30,2022,FW,Ligue 1,FRA,324.0,1,under_450,0.0,0.0,1.818182,0.0,0.0,0.0,0.0,1.818182,0.909091
331726_21/22_Roma_it_Serie_A_7,Tammy Abraham,eng ENG,FW,Roma,it Serie A,23,1997,37,36,3084,34.3,17,4,21,14,3,3,9,0,0.5,0.12,0.61,0.41,0.53,21/22,95,39,41.1,2.77,1.14,0.15,0.36,0,38,49,17,15,5,13,,,0,331726,2022-06-30,2022,FW,Serie A,ENG,529.0,0,1800_plus,0.495627,0.116618,2.769679,1.137026,0.437318,0.145773,0.379009,1.107872,1.428571
330684_21/22_Granada_es_La_Liga_8,Luis Abram,pe PER,DF,Granada,es La Liga,25,1996,8,6,560,6.2,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,21/22,2,1,50.0,0.32,0.16,0.0,0.0,0,5,4,0,0,5,3,,,1,330684,2022-06-30,2022,DF,La Liga,PER,625.0,1,450_to_899,0.0,0.0,0.322581,0.16129,0.0,0.806452,0.483871,0.806452,0.645161
131075_21/22_Lazio_it_Serie_A_9,Francesco Acerbi,it ITA,DF,Lazio,it Serie A,33,1988,30,29,2536,28.2,4,0,4,4,0,0,2,1,0.14,0.0,0.14,0.14,0.14,21/22,15,7,46.7,0.53,0.25,0.27,0.57,0,18,16,4,3,37,12,,,0,131075,2022-06-30,2022,DF,Serie A,ITA,1089.0,0,1800_plus,0.141844,0.0,0.531915,0.248227,0.106383,1.312057,0.425532,0.638298,0.567376
60410_21/22_Sevilla_es_La_Liga_10,Marcos Acuña,ar ARG,"DF,MF",Sevilla,es La Liga,29,1991,31,26,2260,25.1,1,3,4,1,0,0,10,0,0.04,0.12,0.16,0.04,0.16,21/22,16,5,31.3,0.64,0.2,0.06,0.2,0,38,48,0,178,16,31,,,0,60410,2022-06-30,2022,MF,La Liga,ARG,841.0,0,1800_plus,0.039841,0.119522,0.63745,0.199203,7.091633,0.63745,1.23506,1.513944,1.912351
