row_id,trmrkt_player_id,season,Squad,Comp,valuation_date,latest_transfer_id_before_valuation,latest_transfer_date_before_valuation,latest_transfer_type_before_valuation,contract_until_date,contract_days_remaining,contract_years_remaining,contract_expiring_within_1y,contract_expiring_within_2y,contract_missing,days_since_last_transfer,last_transfer_market_value_eur,last_transfer_fee_eur,last_transfer_fee_text,last_transfer_was_loan,last_transfer_was_free,transfer_count_before_valuation,loan_count_before_valuation
471690_21/22_Norwich_City_eng_Premier_League_1,471690,21/22,Norwich City,eng Premier League,2022-06-30,2269282,2018-07-01,STANDARD,2024-06-30,731,2.0014,0,0,0,1460,,,-,0,0,2,0
199704_21/22_Reims_fr_Ligue_1_2,199704,21/22,Reims,fr Ligue 1,2022-06-30,1811599,2017-07-01,STANDARD,2024-06-30,731,2.0014,0,0,0,1825,1000000,,?,0,0,5,0
688707_21/22_Clermont_Foot_fr_Ligue_1_3,688707,21/22,Clermont Foot,fr Ligue 1,2022-06-30,3436084,2021-07-12,STANDARD,2025-06-30,1096,3.0007,0,0,0,353,400000,,?,0,0,4,2
238626_21/22_Lorient_fr_Ligue_1_4,238626,21/22,Lorient,fr Ligue 1,2022-06-30,2576393,2019-07-26,STANDARD,2029-06-30,2557,7.0007,0,0,0,1070,800000,500000,500.00,0,0,7,2
596813_21/22_Greuther_Fürth_de_Bundesliga_5,596813,21/22,Greuther Fürth,de Bundesliga,2022-06-30,2753452,2020-07-01,STANDARD,2024-06-30,731,2.0014,0,0,0,729,,,Free Transfer,0,1,4,0
659543_21/22_Rennes_fr_Ligue_1_6,659543,21/22,Rennes,fr Ligue 1,2022-06-30,3705842,2022-06-30,RETURNED_FROM_PREVIOUS_LOAN,2025-06-30,1096,3.0007,0,0,0,0,3000000,,,1,0,5,2
331726_21/22_Roma_it_Serie_A_7,331726,21/22,Roma,it Serie A,2022-06-30,3503145,2021-08-17,STANDARD,2026-06-30,1461,4.0,0,0,0,317,38000000,41000000,41.00,0,0,10,6
330684_21/22_Granada_es_La_Liga_8,330684,21/22,Granada,es La Liga,2022-06-30,3712679,2022-01-25,ACTIVE_LOAN_TRANSFER,2022-12-31,184,0.5038,1,1,0,156,7000000,,,1,0,5,1
131075_21/22_Lazio_it_Serie_A_9,131075,21/22,Lazio,it Serie A,2022-06-30,2171310,2018-07-11,STANDARD,2023-06-30,365,0.9993,1,1,0,1450,10000000,12000000,12.00,0,0,12,2
60410_21/22_Sevilla_es_La_Liga_10,60410,21/22,Sevilla,es La Liga,2022-06-30,3060377,2020-09-14,STANDARD,2025-06-30,1096,3.0007,0,0,0,654,12000000,11250000,11.25,0,0,4,0
346779_21/22_Southampton_eng_Premier_League_11,346779,21/22,Southampton,eng Premier League,2022-06-30,2531523,2019-07-01,STANDARD,2024-06-30,731,2.0014,0,0,0,1095,7000000,16700000,16.70,0,0,6,0
332705_21/22_RB_Leipzig_de_Bundesliga_12,332705,21/22,RB Leipzig,de Bundesliga,2022-06-30,2328148,2019-01-01,STANDARD,2025-06-30,1096,3.0007,0,0,0,1276,4500000,2630000,2.63,0,0,5,2
125614_21/22_Hoffenheim_de_Bundesliga_13,125614,21/22,Hoffenheim,de Bundesliga,2022-06-30,3723318,2022-06-30,RETURNED_FROM_PREVIOUS_LOAN,2023-06-30,365,0.9993,1,1,0,0,3500000,,,1,0,12,2
814976_21/22_Reims_fr_Ligue_1_14,814976,21/22,Reims,fr Ligue 1,2022-06-30,3423593,2021-07-01,STANDARD,2026-06-30,1461,4.0,0,0,0,364,,,-,0,0,3,0
532776_21/22_Leverkusen_de_Bundesliga_15,532776,21/22,Leverkusen,de Bundesliga,2022-06-30,3519867,2021-08-26,STANDARD,2028-06-30,2192,6.0014,0,0,0,308,6000000,7500000,7.50,0,0,5,0
395236_21/22_Bordeaux_fr_Ligue_1_16,395236,21/22,Bordeaux,fr Ligue 1,2022-06-30,3530800,2022-06-30,RETURNED_FROM_PREVIOUS_LOAN,2026-06-30,1461,4.0,0,0,0,0,9000000,,,1,0,9,2
237658_21/22_Bologna_it_Serie_A_17,237658,21/22,Bologna,it Serie A,2022-06-30,3712023,2022-06-30,RETURNED_FROM_PREVIOUS_LOAN,2023-06-30,365,0.9993,1,1,0,0,3500000,,,1,0,6,2
872380_21/22_Roma_it_Serie_A_18,872380,21/22,Roma,it Serie A,2022-06-30,3635525,2021-10-23,STANDARD,2026-06-30,1461,4.0,0,0,0,250,,,-,0,0,4,2
483573_21/22_Alavés_es_La_Liga_19,483573,21/22,Alavés,es La Liga,2022-06-30,2128880,2018-07-01,STANDARD,2022-06-30,0,0.0,1,1,0,1460,1500000,,-,0,0,3,0
569384_21/22_Brest_fr_Ligue_1_20,569384,21/22,Brest,fr Ligue 1,2022-06-30,3529627,2022-06-30,RETURNED_FROM_PREVIOUS_LOAN,2025-06-30,1096,3.0007,0,0,0,0,7000000,,,1,0,6,4
361914_21/22_Rennes_fr_Ligue_1_21,361914,21/22,Rennes,fr Ligue 1,2022-06-30,3014847,2020-08-14,STANDARD,2025-06-30,1096,3.0007,0,0,0,685,4000000,4000000,4.00,0,0,3,0
203746_21/22_Monaco_fr_Ligue_1_22,203746,21/22,Monaco,fr Ligue 1,2022-06-30,2593190,2019-08-06,STANDARD,2025-06-30,1096,3.0007,0,0,0,1059,8000000,8000000,8.00,0,0,5,0
538971_21/22_Stuttgart_de_Bundesliga_23,538971,21/22,Stuttgart,de Bundesliga,2022-06-30,3358571,2021-07-01,STANDARD,2025-06-30,1096,3.0007,0,0,0,364,1800000,4100000,4.10,0,0,8,2
377468_21/22_Bordeaux_fr_Ligue_1_24,377468,21/22,Bordeaux,fr Ligue 1,2022-06-30,3723692,2022-06-30,RETURNED_FROM_PREVIOUS_LOAN,2023-12-31,549,1.5031,0,1,0,0,6000000,,,1,0,7,4
178313_21/22_Strasbourg_fr_Ligue_1_25,178313,21/22,Strasbourg,fr Ligue 1,2022-06-30,3444872,2022-06-30,RETURNED_FROM_PREVIOUS_LOAN,2023-06-30,365,0.9993,1,1,0,0,3000000,,,1,0,10,6
358250_21/22_Celta_Vigo_es_La_Liga_26,358250,21/22,Celta Vigo,es La Liga,2022-06-30,2550517,2019-07-11,STANDARD,2026-06-30,1461,4.0,0,0,0,1085,4000000,8000000,8.00,0,0,5,2
236490_21/22_Torino_it_Serie_A_27,236490,21/22,Torino,it Serie A,2022-06-30,3057094,2021-06-30,RETURNED_FROM_PREVIOUS_LOAN,2023-06-30,365,0.9993,1,1,0,365,6000000,,,1,0,10,6
578391_21/22_Wolves_eng_Premier_League_28,578391,21/22,Wolves,eng Premier League,2022-06-30,3430966,2021-07-09,STANDARD,2026-06-30,1461,4.0,0,0,0,356,18000000,11100000,11.10,0,0,5,2
328658_21/22_Brentford_eng_Premier_League_29,328658,21/22,Brentford,eng Premier League,2022-06-30,3453536,2021-07-21,STANDARD,2030-06-30,2922,8.0,0,0,0,344,7000000,15700000,15.70,0,0,5,2
283994_21/22_Strasbourg_fr_Ligue_1_30,283994,21/22,Strasbourg,fr Ligue 1,2022-06-30,2125306,2018-07-01,STANDARD,2024-06-30,731,2.0014,0,0,0,1460,900000,2000000,2.00,0,0,8,4
284730_21/22_Dortmund_de_Bundesliga_31,284730,21/22,Dortmund,de Bundesliga,2022-06-30,2003900,2018-01-15,STANDARD,2023-06-30,365,0.9993,1,1,0,1627,5000000,21500000,21.50,0,0,4,0
15331_21/22_Cádiz_es_La_Liga_32,15331,21/22,Cádiz,es La Liga,2022-06-30,2451143,2017-01-01,STANDARD,,,,,,1,2006,,,?,0,0,15,2
177476_21/22_Manchester_City_eng_Premier_League_33,177476,21/22,Manchester City,eng Premier League,2022-06-30,3002838,2020-08-05,STANDARD,2027-06-30,1826,4.9993,0,0,0,694,28000000,45300000,45.30,0,0,12,6
709969_21/22_Barcelona_es_La_Liga_34,709969,21/22,Barcelona,es La Liga,2022-06-30,2939683,2020-07-01,STANDARD,2023-06-30,365,0.9993,1,1,0,729,,,-,0,0,3,0
745200_21/22_Monaco_fr_Ligue_1_35,745200,21/22,Monaco,fr Ligue 1,2022-06-30,3006107,2020-07-01,STANDARD,2024-06-30,731,2.0014,0,0,0,729,,,-,0,0,3,0
429901_21/22_Real_Betis_es_La_Liga_36,429901,21/22,Real Betis,es La Liga,2022-06-30,3054520,2020-09-10,STANDARD,2024-06-30,731,2.0014,0,0,0,658,,,-,0,0,7,4
170481_21/22_Lazio_it_Serie_A_37,170481,21/22,Lazio,it Serie A,2022-06-30,3040042,2020-09-18,STANDARD,2025-06-30,1096,3.0007,0,0,0,650,600000,12700000,12.70,0,0,5,0
