season,count,median,mean,group_column,cleaned_comp,position_group,minutes_bucket
21/22,1994,5000000.0,11329099.799398195,season,,,
22/23,2064,6000000.0,12028221.899224807,season,,,
23/24,1967,6000000.0,13218301.982714795,season,,,
,1131,5000000.0,10497701.149425287,cleaned_comp,Bundesliga,,
,1151,4000000.0,10835165.073848827,cleaned_comp,La Liga,,
,1226,4500000.0,8446044.045676999,cleaned_comp,Ligue 1,,
,1244,15000000.0,21059405.144694533,cleaned_comp,Premier League,,
,1273,4500000.0,9834996.072270228,cleaned_comp,Serie A,,
,1648,5000000.0,10402320.995145632,position_group,,DF,
,1746,7500000.0,15189547.53722795,position_group,,FW,
,2631,5500000.0,11308589.889775751,position_group,,MF,
,2085,11000000.0,19224340.527577937,minutes_bucket,,,1800_plus
,965,3000000.0,6444300.518134715,minutes_bucket,,,450_to_899
,1849,6000000.0,10873918.334234722,minutes_bucket,,,900_to_1799
,1126,3000000.0,6225133.214920071,minutes_bucket,,,under_450
