scope,position_group,cleaned_comp,model,split,rows,rmse_log,mae_log,r2,rmse_eur,mae_eur,variant,min_minutes,target_filter,feature_set
sensitivity,ALL,ALL,mean_baseline,test,1723,1.2379832515918505,1.0237253791038825,-0.005204429136460131,21098933.694522526,10993746.680608517,all_features_min_300,300,max_120_days,all_features
sensitivity,ALL,ALL,linear_regression,test,1723,0.7897843311159898,0.6309417744187678,0.5908883171439406,15464762.172561977,7475934.546920208,all_features_min_300,300,max_120_days,all_features
sensitivity,ALL,ALL,ridge_alpha_1,test,1723,0.7900143309190936,0.631170783021,0.590650000671995,15383699.319412647,7470605.83083483,all_features_min_300,300,max_120_days,all_features
sensitivity,ALL,ALL,hist_gradient_boosting,test,1723,0.7591151846419416,0.5975519772126551,0.6220448977736777,12887164.294273658,6857254.574678028,all_features_min_300,300,max_120_days,all_features
sensitivity,ALL,ALL,mean_baseline,test,1723,1.2379832515918505,1.0237253791038825,-0.005204429136460131,21098933.694522526,10993746.680608517,no_contract_transfer_features_min_300,300,max_120_days,no_contract_transfer_features
sensitivity,ALL,ALL,linear_regression,test,1723,0.8306262720446711,0.6640959423572174,0.5474816636795425,14549150.212213604,7692748.053722704,no_contract_transfer_features_min_300,300,max_120_days,no_contract_transfer_features
sensitivity,ALL,ALL,ridge_alpha_1,test,1723,0.8307642072036346,0.6639956865339711,0.5473313593287447,14541884.91188296,7685032.537777228,no_contract_transfer_features_min_300,300,max_120_days,no_contract_transfer_features
sensitivity,ALL,ALL,hist_gradient_boosting,test,1723,0.8150235807160864,0.645337754199398,0.5643224283484953,13600865.281376306,7432153.791776703,no_contract_transfer_features_min_300,300,max_120_days,no_contract_transfer_features
sensitivity,ALL,ALL,mean_baseline,test,1722,1.2367667673244447,1.0228235072279068,-0.004915926344365662,21095447.59866275,10995999.703904863,in_window_targets_min_300,300,in_window_only,all_features
sensitivity,ALL,ALL,linear_regression,test,1722,0.7891401597484858,0.630415574708383,0.5908689824247078,15504222.244428838,7484532.456549635,in_window_targets_min_300,300,in_window_only,all_features
sensitivity,ALL,ALL,ridge_alpha_1,test,1722,0.7893758745531805,0.6306358804921124,0.5906245324631174,15424225.700707419,7479251.579783421,in_window_targets_min_300,300,in_window_only,all_features
sensitivity,ALL,ALL,hist_gradient_boosting,test,1722,0.7605020004598384,0.5988004643907108,0.6200251635184703,12921613.634992061,6864250.311384072,in_window_targets_min_300,300,in_window_only,all_features
sensitivity,ALL,ALL,mean_baseline,test,1303,1.1942834263958177,0.9789235972729918,-0.00391611245689516,23087007.625875212,12431991.245226815,all_features_min_900,900,max_120_days,all_features
sensitivity,ALL,ALL,linear_regression,test,1303,0.7634588453163043,0.605547722934494,0.5897450064489655,18875021.999589935,8745512.266684351,all_features_min_900,900,max_120_days,all_features
sensitivity,ALL,ALL,ridge_alpha_1,test,1303,0.7637920626941892,0.6059908538451104,0.5893868105178528,18654237.483000666,8734948.77606956,all_features_min_900,900,max_120_days,all_features
sensitivity,ALL,ALL,hist_gradient_boosting,test,1303,0.7346870109465924,0.5787660480518588,0.6200842160680131,14104503.505023872,7836563.87917617,all_features_min_900,900,max_120_days,all_features
