feature,coefficient,abs_coefficient
num__age_squared,-1.1292961777783268,1.1292961777783268
num__Age,0.7072397299966956,0.7072397299966956
cat__cleaned_comp_Premier League,0.5787061175741408,0.5787061175741408
num__contract_missing,-0.40151135631448975,0.40151135631448975
cat__cleaned_comp_Ligue 1,-0.3769394869325662,0.3769394869325662
num__goals_per90,0.29707905026791237,0.29707905026791237
num__contract_years_remaining,0.26781289208026954,0.26781289208026954
num__shots_per90,0.241026649720395,0.241026649720395
cat__position_group_FW,-0.23702752199688137,0.23702752199688137
num__assists_per90,0.22697358332660195,0.22697358332660195
cat__position_group_MF,0.13607957654885372,0.13607957654885372
num__crosses_per90,-0.13267017599640119,0.13267017599640119
cat__position_group_DF,0.10094794544810824,0.10094794544810824
num__shots_on_target_per90,-0.10038627200715575,0.10038627200715575
num__90s,0.09470411011434685,0.09470411011434685
num__Min,0.09004075809936204,0.09004075809936204
cat__cleaned_comp_Serie A,-0.08488377127354249,0.08488377127354249
num__Starts,0.08326546109760949,0.08326546109760949
num__transfer_count_before_valuation,-0.08183151276218278,0.08183151276218278
num__days_since_last_transfer,0.07769988007130324,0.07769988007130324
num__fouls_per90,-0.07053411949180025,0.07053411949180025
cat__cleaned_comp_Bundesliga,-0.06284316702230965,0.06284316702230965
cat__cleaned_comp_La Liga,-0.0540396923456587,0.0540396923456587
num__fouled_per90,0.048282799851187774,0.048282799851187774
cat__season_21/22,-0.03652284512971129,0.03652284512971129
cat__season_22/23,0.03652284512969599,0.03652284512969599
num__tackles_won_per90,-0.00793247782938917,0.00793247782938917
num__interceptions_per90,-0.007767708086658901,0.007767708086658901
num__loan_count_before_valuation,0.001245064638268646,0.001245064638268646
